c,7.188253044980429
e,7.1251542321296375
q,7.01324200913242
p,7.011049441133591
r,6.8680094278980075
d,6.373758017859389
v,5.984417511748702
g,5.926534719892653
s,5.802628209448076
z,5.739910313901345
u,5.610114322006987
j,5.5897775423728815
k,5.371508870542772
l,5.340270592916832
f,5.1931280466056355
m,5.133732069804775
n,4.81458383305349
b,4.539964402500104
w,4.28361239443251
h,3.809584561465253
a,3.7423501423501424
y,3.7254024192780264
t,3.6356169605674316
i,3.4639260684540947
x,3.452272727272727
o,3.0125874667561776
